model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,easy,463,0.21162664491056565,,,,,0.3139220793666979,0.34205710166977094
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,medium,549,0.27783387080653615,,,,,0.18649282689583238,0.16835166702324636
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,hard,12,0.2857142857142857,,,,,0.041666666666666664,0.13173156912955217
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,easy,463,0.7861771058315334,0.9438444924406048,0.06801741574959717,0.14164429727473116,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,medium,549,0.15664845173041894,0.6520947176684881,0.08942440406268529,0.11484325686953428,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,hard,12,0.0,0.0,0.0,0.020887326960072946,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,env_visibility_reasoning,easy,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,env_visibility_reasoning,medium,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,env_visibility_reasoning,hard,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,easy,124,0.10483870967741936,,,,,0.024193548387096774,0.06267129785583389
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,medium,470,0.3659574468085106,,,,,0.037758465687743485,0.0775698388890538
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,hard,6,0.16666666666666666,,,,,0.0,0.006557377049180327
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,easy,463,0.17336123945997636,,,,,0.14945666643722022,0.17048933197630092
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,medium,549,0.24324582675327017,,,,,0.09229386200391843,0.08046231029217664
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,hard,12,0.15384615384615383,,,,,0.0,0.04896048455251525
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,easy,463,0.1101511879049676,0.9848812095032398,0.2579247795514705,0.43282103102518965,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,medium,549,0.5519125683060109,0.8069216757741348,0.08915873968751704,0.23613434898638358,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,hard,12,0.0,0.0,0.030867065450955338,0.06519990861784009,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_composite_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_composite_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_composite_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_atomic_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_atomic_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_atomic_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,env_visibility_reasoning,easy,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,env_visibility_reasoning,medium,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,env_visibility_reasoning,hard,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-4B-Instant,multi-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,easy,124,0.08870967741935484,,,,,0.04838709677419355,0.12075470343609855
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,medium,471,0.3227176220806794,,,,,0.09554140127388536,0.14687326769230843
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,hard,7,0.2857142857142857,,,,,0.0,0.06537090476998811
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,1,0,,,,,,,
