model,view_definition,task_type,difficulty,count,option_accuracy,bbox_acc@50iou,bbox_mean_iou
Qwen/Qwen3.5-122B-A10B-Instant,Environment-Aware,env_where,4way,512,0.50390625,0.056640625,0.18040882385331766
Qwen/Qwen3.5-122B-A10B-Instant,Environment-Aware,env_where,8way,512,0.490234375,0.064453125,0.20737074337705955
Qwen/Qwen3.5-122B-A10B-Instant,Environment-Aware,env_how,4way,512,0.50390625,0.076171875,0.18188151881975917
Qwen/Qwen3.5-122B-A10B-Instant,Environment-Aware,env_how,8way,512,0.4765625,0.060546875,0.19368663196227687
Qwen/Qwen3.5-27B-Instant,Self-Aware,self_where,4way,512,0.279296875,0.412109375,0.37828105431210396
Qwen/Qwen3.5-27B-Instant,Self-Aware,self_where,8way,512,0.353515625,0.443359375,0.41942511119105225
Qwen/Qwen3.5-27B-Instant,Self-Aware,self_what,4way,512,0.322265625,0.150390625,0.24518616789531128
Qwen/Qwen3.5-27B-Instant,Self-Aware,self_what,8way,512,0.419921875,0.19140625,0.27008849926210526
Qwen/Qwen3.5-27B-Instant,Environment-Aware,env_where,4way,512,0.564453125,0.068359375,0.18775847362757914
Qwen/Qwen3.5-27B-Instant,Environment-Aware,env_where,8way,512,0.591796875,0.078125,0.21984436881806535
Qwen/Qwen3.5-27B-Instant,Environment-Aware,env_how,4way,512,0.486328125,0.076171875,0.20387567817803995
Qwen/Qwen3.5-27B-Instant,Environment-Aware,env_how,8way,512,0.525390625,0.07421875,0.21532406722742414
Qwen/Qwen3.5-35B-A3B-Instant,Self-Aware,self_where,4way,512,0.251953125,0.263671875,0.2884419644826957
Qwen/Qwen3.5-35B-A3B-Instant,Self-Aware,self_where,8way,512,0.337890625,0.2890625,0.32110793048839653
Qwen/Qwen3.5-35B-A3B-Instant,Self-Aware,self_what,4way,512,0.228515625,0.00390625,0.0068029516500197305
Qwen/Qwen3.5-35B-A3B-Instant,Self-Aware,self_what,8way,512,0.3203125,0.005859375,0.009836262375135704
Qwen/Qwen3.5-35B-A3B-Instant,Environment-Aware,env_where,4way,512,0.517578125,0.052734375,0.12816040700077083
Qwen/Qwen3.5-35B-A3B-Instant,Environment-Aware,env_where,8way,512,0.546875,0.068359375,0.1620474844068215
Qwen/Qwen3.5-35B-A3B-Instant,Environment-Aware,env_how,4way,512,0.5625,0.06640625,0.17651140956686195
Qwen/Qwen3.5-35B-A3B-Instant,Environment-Aware,env_how,8way,512,0.587890625,0.078125,0.1941535737551164
Qwen/Qwen3.5-397B-A17B-Instant,Self-Aware,self_where,4way,512,0.224609375,0.03125,0.11884292471165815
Qwen/Qwen3.5-397B-A17B-Instant,Self-Aware,self_where,8way,512,0.32421875,0.03515625,0.13272852963112294
Qwen/Qwen3.5-397B-A17B-Instant,Self-Aware,self_what,4way,512,0.33984375,0.111328125,0.21368852671100153
Qwen/Qwen3.5-397B-A17B-Instant,Self-Aware,self_what,8way,512,0.376953125,0.087890625,0.213449239540246
Qwen/Qwen3.5-397B-A17B-Instant,Environment-Aware,env_where,4way,512,0.4921875,0.025390625,0.11525567566197598
Qwen/Qwen3.5-397B-A17B-Instant,Environment-Aware,env_where,8way,512,0.466796875,0.03125,0.14496659439393578
Qwen/Qwen3.5-397B-A17B-Instant,Environment-Aware,env_how,4way,512,0.44921875,0.05078125,0.12727230781393503
Qwen/Qwen3.5-397B-A17B-Instant,Environment-Aware,env_how,8way,512,0.474609375,0.037109375,0.1498981819169953
Qwen/Qwen3.5-4B-Instant,Self-Aware,self_where,4way,512,0.275390625,0.09765625,0.20972901486847986
Qwen/Qwen3.5-4B-Instant,Self-Aware,self_where,8way,512,0.341796875,0.158203125,0.25309727594397996
Qwen/Qwen3.5-4B-Instant,Self-Aware,self_what,4way,512,0.283203125,0.1015625,0.20420875338533775
Qwen/Qwen3.5-4B-Instant,Self-Aware,self_what,8way,512,0.3203125,0.123046875,0.22962867911074664
Qwen/Qwen3.5-4B-Instant,Environment-Aware,env_where,4way,512,0.46875,0.052734375,0.15538855622697026
Qwen/Qwen3.5-4B-Instant,Environment-Aware,env_where,8way,512,0.48046875,0.08203125,0.19876120024268742
Qwen/Qwen3.5-4B-Instant,Environment-Aware,env_how,4way,512,0.408203125,0.048828125,0.15543054465782147
Qwen/Qwen3.5-4B-Instant,Environment-Aware,env_how,8way,512,0.541015625,0.078125,0.20378379574308464
Qwen/Qwen3.5-9B-Instant,Self-Aware,self_where,4way,512,0.251953125,0.16015625,0.24648633637629405
Qwen/Qwen3.5-9B-Instant,Self-Aware,self_where,8way,512,0.328125,0.158203125,0.26976561226840634
