model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
Qwen/Qwen3.5-4B-UAV-DualCog-SFT-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2427,,,,,0.48310000000000003,0.4368
Qwen/Qwen3.5-4B-UAV-DualCog-SFT-Instant,single-landmark,env_visibility_reasoning,all,1,0.3154,,0.2491,0.2968,,,
Qwen/Qwen3.5-9B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0987,,,,,0.1015,0.1124
Qwen/Qwen3.5-9B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.28850000000000003,,,,,0.5684,0.5128
Qwen/Qwen3.5-9B-Instant,single-landmark,env_visibility_reasoning,all,1,0.5068,,0.3385,0.3679,,,
Qwen/Qwen3.5-9B-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.12480000000000001,,,,,0.1483,0.1534
Qwen/Qwen3.5-9B-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.2241,,,,,0.4006,0.3538
Qwen/Qwen3.5-9B-Thinking,single-landmark,env_visibility_reasoning,all,1,0.4668,,0.39990000000000003,0.3772,,,
SpaceOm-Instant,single-landmark,self_composite_instance_recognition,all,1,0.3322,,,,,0.0,0.0321
SpaceOm-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2778,,,,,0.1796,0.1398
SpaceOm-Instant,single-landmark,env_visibility_reasoning,all,1,0.3232,,0.1765,0.3423,,,
SpaceR-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2397,,,,,0.0,0.0246
SpaceR-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2773,,,,,0.16519999999999999,0.1393
SpaceR-Instant,single-landmark,env_visibility_reasoning,all,1,0.3369,,0.16469999999999999,0.3075,,,
SpaceThinker-Instant,single-landmark,self_composite_instance_recognition,all,1,0.18960000000000002,,,,,0.0,0.016200000000000003
SpaceThinker-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.23600000000000002,,,,,0.1978,0.1413
SpaceThinker-Instant,single-landmark,env_visibility_reasoning,all,1,0.3369,,0.1433,0.2709,,,
VST-7B-RL-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0,,,,,0.0,0.0
VST-7B-RL-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.0,,,,,0.0,0.0
VST-7B-RL-Instant,single-landmark,env_visibility_reasoning,all,1,0.2275,,0.0,0.0,,,
VST-7B-SFT-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0,,,,,0.0,0.0
VST-7B-SFT-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.0,,,,,0.0,0.0
VST-7B-SFT-Instant,single-landmark,env_visibility_reasoning,all,1,0.23440000000000003,,0.0434,0.08109999999999999,,,
ViLaSR-Instant,single-landmark,self_composite_instance_recognition,all,1,0.053399999999999996,,,,,0.0,0.0067
ViLaSR-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.0998,,,,,0.0354,0.0562
ViLaSR-Instant,single-landmark,env_visibility_reasoning,all,1,0.3594,,0.10439999999999999,0.20600000000000002,,,
gemini-3.1-pro-preview-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.5539000000000001,,,,,0.4205,0.3944
gemini-3.1-pro-preview-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.3418,,,,,0.29469999999999996,0.33590000000000003
gemini-3.1-pro-preview-Thinking,single-landmark,env_visibility_reasoning,all,1,0.335,,0.2039,0.3029,,,
glm-4.6v-Instant,single-landmark,self_composite_instance_recognition,all,1,0.324,,,,,0.0125,0.0644
glm-4.6v-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.3427,,,,,0.2273,0.22640000000000002
glm-4.6v-Instant,single-landmark,env_visibility_reasoning,all,1,0.3125,,0.1736,0.3381,,,
google/gemini-3-flash-preview-Instant,single-landmark,self_composite_instance_recognition,all,1,0.4932,,,,,0.5188,0.5675
google/gemini-3-flash-preview-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.3569,,,,,0.5311,0.4664
google/gemini-3-flash-preview-Instant,single-landmark,env_visibility_reasoning,all,1,0.5518,,0.4501,0.4432,,,
google/gemini-3.1-flash-lite-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0,,,,,,
google/gemini-3.1-flash-lite-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.0,,,,,,
google/gemini-3.1-flash-lite-Instant,single-landmark,env_visibility_reasoning,all,1,0.0,,0.0,0.0,,,
google/gemini-3.1-flash-lite-preview-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2341,,,,,0.30519999999999997,0.35090000000000005
google/gemini-3.1-flash-lite-preview-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.19519999999999998,,,,,0.4004,0.39399999999999996
google/gemini-3.1-flash-lite-preview-Instant,single-landmark,env_visibility_reasoning,all,1,0.5283,,0.441,0.42200000000000004,,,
gpt-5.5-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2955,,,,,0.2069,0.20629999999999998
gpt-5.5-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2054,,,,,0.18030000000000002,0.18969999999999998
gpt-5.5-Instant,single-landmark,env_visibility_reasoning,all,1,0.1628,,0.0836,0.1119,,,
intern-s1-pro-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0,,,,,,
intern-s1-pro-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.0,,,,,,
intern-s1-pro-Instant,single-landmark,env_visibility_reasoning,all,1,0.0,,0.0,0.0,,,
internvl3.5-241b-a28b-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0,,,,,,
internvl3.5-241b-a28b-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.0,,,,,,
internvl3.5-241b-a28b-Instant,single-landmark,env_visibility_reasoning,all,1,0.0,,0.0,0.0,,,
kimi-k2.5-Instant,single-landmark,self_composite_instance_recognition,all,1,0.1326,,,,,0.2164,0.2291
